WKT;ID;ELEV
"MULTILINESTRING ((511569.941536238 5557683.90571648,511554.911950022 5557671.55118961,511535.077017535 5557670.6690308,511515.25037611 5557665.94790537,511499.473420687 5557683.75315482,511515.176947957 5557699.92173883,511535.013591385 5557699.96464909,511554.830368999 5557709.1675665,511569.941536238 5557683.90571648))";"8458";300
"MULTILINESTRING ((511461.933204655 5557560.12971062,511455.969554757 5557559.08691896,511436.134791475 5557557.92418168,511416.30624519 5557553.85607553,511396.469058439 5557553.81360806,511376.638508731 5557550.66282108,511356.796056327 5557553.0854335,511336.949555803 5557557.41923939,511317.112231299 5557557.4483743,511306.054752779 5557559.79666035,511297.218721089 5557583.97639606,511295.737683193 5557590.66040984,511294.635946152 5557621.54370772,511297.122944471 5557629.1468332,511304.34954902 5557652.44994339,511316.888856004 5557662.61254962,511336.725637238 5557662.6547214,511356.523655628 5557680.88243311,511359.457055681 5557683.45278876,511376.319667057 5557699.98664905,511387.312319989 5557714.39789117,511396.100217132 5557726.25286271,511415.896910661 5557744.89380074,511435.733386093 5557744.93634161,511436.208827335 5557745.38826597,511455.526606493 5557765.0960044,511466.229122627 5557776.33843454,511475.32995761 5557780.48267985,511495.127273728 5557798.61347735,511504.523891953 5557807.30663646,511514.93494696 5557811.89000427,511534.771173503 5557811.93291425,511554.602601245 5557814.18853019,511574.44017949 5557813.60557007,511594.286424661 5557809.04228806,511598.30348733 5557807.50996894,511614.158969557 5557792.43049635,511633.995269112 5557792.47377566,511646.04784376 5557776.7284723,511653.895046058 5557763.49760455,511661.393095609 5557745.87638942,511665.520898784 5557714.99977861,511659.275925015 5557684.10046289,511654.10383392 5557668.04678393,511647.162930479 5557653.18832516,511634.342276859 5557633.56290629,511626.272528864 5557622.25705643,511614.56169052 5557607.69067266,511594.72470309 5557607.64746675,511575.148392123 5557591.26010339,511574.923543048 5557591.11269664,511555.101190199 5557584.2932992,511535.275756344 5557578.87373247,511515.448270781 5557574.38498982,511495.611159908 5557574.34215312,511475.792487373 5557565.738673,511461.933204655 5557560.12971062))";"8470";290
"MULTILINESTRING ((511442.705988689 5557529.20274949,511436.200064507 5557527.51346746,511416.362598251 5557527.55554864,511396.52531358 5557527.51308111,511376.695618059 5557523.91637492,511356.8590536 5557523.52990942,511337.017001632 5557525.72129591,511317.176748261 5557527.07378294,511297.339462346 5557527.03168468,511290.532206442 5557528.87811406,511277.4917152 5557531.9321213,511257.632630269 5557542.21607422,511237.764634258 5557556.76147335,511217.92745931 5557556.71967059,511215.026297604 5557559.60427791,511213.395422858 5557590.48647569,511216.318958486 5557621.37826127,511217.785248875 5557624.26390828,511237.622172344 5557624.30571088,511253.159073499 5557652.34157761,511257.392462302 5557655.88406259,511277.191154915 5557673.93261695,511286.410131314 5557683.29754754,511296.970921329 5557700.84386584,511306.639872664 5557714.22607827,511316.746175281 5557729.78529237,511336.582706417 5557729.82746399,511347.418360993 5557745.19841453,511356.361515843 5557756.94942426,511375.404610691 5557776.14373757,511376.156268678 5557776.51024247,511395.971496384 5557786.43097022,511415.785978369 5557796.66543073,511435.622261043 5557796.70797147,511455.438585245 5557806.03280273,511457.901693407 5557807.20616475,511475.23050142 5557826.657559,511485.761790492 5557838.15180267,511495.021253073 5557847.75099807,511514.831763894 5557859.62992419,511534.667812688 5557859.67283406,511554.412783457 5557869.18590011,511554.483245153 5557869.22160785,511574.315206696 5557871.12965511,511581.898481149 5557869.24558202,511594.164134192 5557865.2354527,511614.008407801 5557861.49640743,511633.844450204 5557861.53968657,511653.725952314 5557840.80072965,511655.597980144 5557838.52065851,511673.592297664 5557827.04968764,511693.456800725 5557814.18483775,511713.296688028 5557812.55993209,511720.216424638 5557807.77676787,511733.20870527 5557778.18865876,511733.676094486 5557776.92074275,511737.681808569 5557746.04391601,511737.401662035 5557715.15764994,511733.368671054 5557705.55245292,511725.180042378 5557684.24509211,511715.677595627 5557653.33854287,511713.657209946 5557648.57905036,511693.820374187 5557648.53547527,511681.329627921 5557622.37748196,511674.073361147 5557607.49731786,511664.42204963 5557591.45479839,511654.302432679 5557577.2529729,511641.226512398 5557560.51842853,511634.508656091 5557557.3690013,511614.687188283 5557550.12028405,511594.849986509 5557550.077078,511575.021629918 5557545.96239178,511555.186656906 5557544.88461471,511535.356535904 5557541.56221517,511515.526206002 5557538.3252231,511495.688960873 5557538.2823863,511475.858808991 5557534.94627887,511456.029417474 5557531.24517419,511442.705988689 5557529.20274949))";"8473";280
"MULTILINESTRING ((511534.960218493 5557498.51603928,511515.628321314 5557491.07733729,511495.790900275 5557491.03450038,511475.958580094 5557488.62342401,511456.129755882 5557484.5782323,511436.302800436 5557479.64853891,511416.466015421 5557479.28950447,511396.62855105 5557479.24703682,511376.791739793 5557478.89873985,511356.963271127 5557474.63542091,511337.126494074 5557474.26215977,511317.289382824 5557474.04513131,511297.451899477 5557474.00303293,511277.611378597 5557475.39610011,511257.757784251 5557482.98185322,511237.90074745 5557492.22674247,511218.059757113 5557493.88299827,511211.294562311 5557497.82516819,511198.197293074 5557505.76265435,511178.323792672 5557522.94513682,511172.258185451 5557528.6287994,511160.693871382 5557559.49019118,511158.390780171 5557568.60561302,511151.914290848 5557590.35743697,511154.004460297 5557621.24744284,511158.262274021 5557629.96631745,511168.645351956 5557652.16374573,511178.039790954 5557658.31328552,511197.848126195 5557671.89669913,511211.967788489 5557683.14037113,511217.63727915 5557694.54294298,511237.473940956 5557694.58474541,511248.924938229 5557714.1039089,511257.242297771 5557726.9538806,511267.743727642 5557745.0293142,511276.999837778 5557764.31952597,511282.367216342 5557775.94590231,511296.780871904 5557790.47387733,511316.598107388 5557799.49363995,511336.434378982 5557799.53581141,511354.217882619 5557806.9841868,511356.251245358 5557808.681785,511376.053608531 5557824.58819369,511388.927231215 5557837.94391769,511395.842595989 5557846.69258945,511412.252317393 5557868.87947907,511415.621319026 5557873.51060092,511435.457315584 5557873.55314148,511455.246664286 5557895.29037158,511462.6154905 5557899.87325135,511475.056967209 5557907.2242364,511494.851088252 5557926.61683181,511501.697057716 5557930.843135,511514.669221686 5557934.83305404,511534.504990475 5557934.87596373,511554.336123304 5557937.05646096,511574.171949169 5557937.06953905,511594.013825657 5557934.30251145,511613.726012408 5557931.08617766,511613.856777046 5557931.05206019,511633.692560471 5557931.09533916,511653.555797849 5557918.58798552,511673.420308491 5557905.54222561,511685.917396517 5557900.35838568,511693.276284097 5557896.42950693,511713.159444333 5557874.98334473,511732.995437084 5557875.02699312,511737.718828828 5557869.58660798,511752.893601705 5557846.88818688,511758.106389104 5557838.74590976,511772.81435311 5557808.62290042,511773.041938137 5557807.89323954,511778.511338549 5557777.01967585,511781.0 5557746.13952725,511780.763039151 5557715.25335326,511773.062173785 5557696.47348756,511768.031159164 5557684.33956794,511757.433810396 5557653.43052506,511753.349861547 5557640.06244106,511748.229517537 5557622.52457672,511734.116754028 5557591.60783379,511733.621627062 5557590.69045087,511719.688152813 5557560.69043562,511713.860313789 5557556.19713311,511694.023134076 5557556.15355779,511674.213244471 5557543.65483946,511654.393555093 5557535.59398649,511637.682485112 5557529.62504862,511634.57323077 5557527.79661401,511614.761886183 5557515.85343431,511594.924556829 5557515.81022817,511575.098091148 5557510.7663867,511555.271247458 5557505.8797251,511535.449327169 5557498.70234994,511534.960218493 5557498.51603928))";"8479";270
"MULTILINESTRING ((511525.736514344 5557436.72481553,511515.750022182 5557434.76699963,511495.912391494 5557434.72416258,511476.075840225 5557434.18020715,511456.238790075 5557433.86659661,511436.412050221 5557428.74845965,511416.57942064 5557426.36156656,511396.741759213 5557426.31909878,511376.908516101 5557424.20738847,511357.075123463 5557422.15865235,511337.237256816 5557422.20565684,511317.430401095 5557407.6528356,511297.592670563 5557407.61073706,511277.752727098 5557408.6142229,511257.913110954 5557409.46652424,511238.059380263 5557417.01419761,511218.193442762 5557430.38662428,511198.355797415 5557430.34489508,511192.027562223 5557436.01341301,511178.480158057 5557448.41325128,511165.483111353 5557466.84334618,511158.587366407 5557474.73623328,511138.952016724 5557497.67343989,511138.70144038 5557497.86891986,511118.864046709 5557497.82748626,511098.994811442 5557513.07193399,511079.138314815 5557522.24491539,511071.0661903 5557528.41757671,511063.729696013 5557559.2879634,511063.278847978 5557590.17265449,511071.134614912 5557621.07460113,511078.885245384 5557643.94934608,511081.766966589 5557651.98233556,511098.678719215 5557664.81304912,511118.486164982 5557678.90722131,511138.322884464 5557678.9486545,511144.100348233 5557682.99798326,511158.105426308 5557704.85923389,511163.301711534 5557713.92381584,511177.870971493 5557738.77919,511181.633231677 5557744.84789425,511197.6389035 5557771.44339211,511200.185298397 5557775.77250161,511217.427078852 5557794.37761884,511237.26336895 5557794.41942103,511247.824284172 5557806.75850507,511257.029456283 5557827.68629502,511263.390687554 5557837.67703505,511276.809290347 5557854.34172759,511296.617985933 5557867.29238051,511298.323266523 5557868.63664792,511316.413443074 5557886.43019224,511336.249390979 5557886.47236349,511349.853342985 5557899.63182665,511356.044096834 5557905.86261859,511375.83754552 5557925.77415273,511378.935750655 5557930.57951408,511395.62950729 5557946.31164497,511415.441426455 5557957.46411069,511435.277110426 5557957.50665104,511451.476575 5557961.62060144,511455.100949869 5557963.05775374,511474.915580555 5557972.86514863,511494.731433401 5557982.07245787,511514.563000771 5557983.97770646,511534.398586577 5557984.02061603,511554.24042774 5557981.17939101,511574.081455979 5557978.72227869,511593.926927855 5557974.23193249,511613.782972445 5557964.90727949,511633.618629816 5557964.95055838,511641.985532935 5557962.03351495,511653.465486006 5557959.87432874,511673.312439923 5557954.77094611,511693.155844805 5557951.30201881,511713.001997732 5557946.59514431,511732.837723849 5557946.63879252,511752.694779499 5557937.01391837,511763.103689592 5557931.41391183,511772.559154859 5557924.10925984,511792.443997861 5557902.00147879,511793.100982835 5557900.59457179,511812.317533113 5557885.06804812,511824.226272863 5557869.77790425,511831.518407023 5557838.90843687,511832.270654224 5557832.35715902,511834.610584144 5557808.02964939,511840.738742405 5557777.15761161,511844.537004267 5557746.28040182,511851.616345642 5557715.41049374,511849.369809025 5557684.51984701,511835.143787866 5557653.60257881,511832.678232442 5557648.83801104,511821.840184998 5557622.6873973,511812.946638945 5557601.3266755,511793.109626687 5557601.28273101,511788.781671426 5557591.7285048,511773.325930971 5557577.11031581,511753.522303634 5557561.89179046,511752.857082464 5557560.76349749,511733.744776842 5557534.7701014,511727.180509281 5557529.82128139,511713.954698527 5557513.26579181,511694.117358975 5557513.22221639,511678.768274933 5557498.82930918,511674.320843605 5557494.54643992,511654.516558511 5557479.35940794,511634.697476229 5557470.89729005,511628.233292294 5557467.83314737,511614.882624926 5557460.46552277,511595.045089357 5557460.4223165,511575.219028577 5557455.09713212,511555.395751324 5557448.47035611,511535.576284816 5557440.06079821,511525.736514344 5557436.72481553))";"8486";260
